date,strategy_equity,etf_dca_equity
2015-01-15,110000.0,107924.6
2015-01-18,110000.0,106056.74
2015-01-19,110000.0,105849.2
2015-01-20,110000.0,109066.07
2015-01-21,110000.0,109792.46
2015-01-22,110000.0,110518.85
2015-01-26,110000.0,109377.37999999999
2015-01-27,110000.0,110830.16
2015-01-28,110000.0,109688.69
2015-01-29,110000.0,109066.07
2015-02-01,120000.0,118575.15
2015-02-02,120000.0,118914.9
2015-02-03,120000.0,119594.4
2015-02-04,120000.0,120953.4
2015-02-05,120000.0,120273.9
2015-02-08,120000.0,120160.65
2015-02-09,120000.0,120953.4
2015-02-10,120000.0,120500.4
2015-02-11,120000.0,118008.9
2015-02-12,120000.0,118122.15
2015-02-15,120000.0,118122.15
2015-02-16,120000.0,116083.65
2015-02-17,120000.0,115290.9
2015-02-18,120000.0,115743.9
2015-02-19,120000.0,114724.65000000002
2015-02-22,120000.0,113478.9
2015-02-23,120000.0,116649.90000000002
2015-02-24,120000.0,115517.4
2015-02-25,120000.0,115630.65000000002
2015-02-26,120000.0,113705.4
2015-03-01,130000.0,123030.25
2015-03-02,130000.0,124631.19999999998
2015-03-03,130000.0,124754.35
2015-03-04,130000.0,125246.95000000001
2015-03-05,130000.0,125985.85
2015-03-08,130000.0,126109.0
2015-03-09,130000.0,127586.79999999999
2015-03-10,130000.0,127586.79999999999
2015-03-11,130000.0,125000.65
2015-03-12,130000.0,127217.35
2015-03-15,130000.0,128325.70000000001
2015-03-16,130000.0,125739.55000000002
2015-03-17,130000.0,125985.85
2015-03-18,130000.0,124877.5
2015-03-19,130000.0,125370.1
2015-03-22,130000.0,123153.4
2015-03-23,130000.0,123153.4
2015-03-24,130000.0,123646.0
2015-03-25,130000.0,122168.20000000001
2015-03-26,130000.0,119951.5
2015-03-30,130000.0,120690.40000000002
2015-03-31,130000.0,120936.70000000001
2015-04-01,140000.0,130444.09999999999
2015-04-02,140000.0,129910.62000000001
2015-04-05,140000.0,126443.00000000001
2015-04-06,140000.0,126443.00000000001
2015-04-07,140000.0,125776.15
2015-04-08,140000.0,125776.15
2015-04-09,140000.0,127776.70000000001
2015-04-14,140000.0,128176.81
2015-04-15,140000.0,127109.84999999999
2015-04-16,140000.0,126443.00000000001
2015-04-19,140000.0,124975.93
2015-04-20,140000.0,123242.12000000001
2015-04-22,140000.0,123242.12000000001
2015-04-23,140000.0,125376.04000000001
2015-04-26,140000.0,123508.86
2015-04-27,140000.0,123375.49
2015-04-28,140000.0,120174.61
2015-04-29,140000.0,122175.16
2015-04-30,140000.0,125509.41
2015-05-03,150000.0,135704.53000000003
2015-05-04,150000.0,132676.12
2015-05-05,150000.0,136281.37
2015-05-07,150000.0,135416.11000000002
2015-05-11,150000.0,135560.32
2015-05-12,150000.0,134262.43000000002
2015-05-13,150000.0,133685.59
2015-05-14,150000.0,133685.59
2015-05-17,150000.0,128638.23999999999
2015-05-18,150000.0,138588.73
2015-05-19,150000.0,140175.04
2015-05-20,150000.0,136569.79
2015-05-21,150000.0,136569.79
2015-05-24,150000.0,143780.29
2015-05-25,150000.0,141328.72000000003
2015-05-27,150000.0,141184.51
2015-05-28,150000.0,141184.51
2015-06-01,160000.0,151382.3
2015-06-02,160000.0,148444.52
2015-06-03,160000.0,147980.66
2015-06-04,160000.0,147980.66
2015-06-08,160000.0,144733.63999999998
2015-06-09,160169.36,145815.98
2015-06-11,160924.91999999998,145815.98
2015-06-15,161041.16,142568.96000000002
2015-06-16,160692.44,142568.96000000002
2015-06-17,160401.84,143032.82
2015-06-21,160169.36,143032.82
2015-06-23,160750.56,141332.00000000003
2015-06-24,160396.84,141332.00000000003
2015-06-25,159988.78,141486.62000000002
2015-06-29,159141.03999999998,141486.62000000002
2015-07-02,169136.03999999998,149001.58000000002
2015-07-05,169136.03999999998,147841.4
2015-07-06,169136.03999999998,142703.46
2015-07-07,169136.03999999998,137399.78
2015-07-08,169136.03999999998,136571.08000000002
2015-07-09,169136.03999999998,137068.3
2015-07-12,169136.03999999998,137068.3
