rebalance_date,selection_date,rank,symbol,holding_name,trailing_return
2015-01-15,2015-01-14,1,ORWE,Oriental Weavers,6.234138972809667
2015-01-15,2015-01-14,2,BFTH,Beltone Holding,4.699999999999999
2015-01-15,2015-01-14,3,HELI,Heliopolis Housing,1.536585365853659
2015-01-15,2015-01-14,4,EAST,Eastern Company,1.057291666666667
2015-01-15,2015-01-14,5,OIH,Orascom Investment Holding,0.7006802721088436
2015-01-15,2015-01-14,6,TMGH,T M G Holding,0.6941747572815535
2015-01-15,2015-01-14,7,COMI,Commercial International Bank-Egypt (CIB),0.6249999999999998
2015-01-15,2015-01-14,8,PHDC,Palm Hills Development Company,0.6131687242798352
2015-01-15,2015-01-14,9,VLMR,Egyptian Kuwaiti Holding,0.37349397590361444
2015-01-15,2015-01-14,10,MCQE,Misr Cement - Qena,0.18237082066869292
2016-01-03,2015-12-31,1,MCQE,Misr Cement - Qena,0.22592746977907474
2016-01-03,2015-12-31,2,ADIB,Abu Dhabi Islamic Bank- Egypt,0.06144067796610164
2016-01-03,2015-12-31,3,COMI,Commercial International Bank-Egypt (CIB),-0.007838014369693114
2016-01-03,2015-12-31,4,RAYA,Raya Holding For Financial Investments,-0.09090909090909083
2016-01-03,2015-12-31,5,EAST,Eastern Company,-0.09687500000000004
2016-01-03,2015-12-31,6,JUFO,Juhayna Food Industries,-0.11431742508324072
2016-01-03,2015-12-31,7,HELI,Heliopolis Housing,-0.11677282377919318
2016-01-03,2015-12-31,8,ABUK,Abou Kir Fertilizers,-0.11808809746954074
2016-01-03,2015-12-31,9,PHDC,Palm Hills Development Company,-0.28693181818181823
2016-01-03,2015-12-31,10,VLMR,Egyptian Kuwaiti Holding,-0.3162393162393161
2017-01-02,2016-12-29,1,HRHO,EFG Holding,2.0079575596816976
2017-01-02,2016-12-29,2,AMOC,Alexandria Mineral Oils Company,2.00609756097561
2017-01-02,2016-12-29,3,BFTH,Beltone Holding,1.911290322580645
2017-01-02,2016-12-29,4,HELI,Heliopolis Housing,1.278236914600551
2017-01-02,2016-12-29,5,COMI,Commercial International Bank-Egypt (CIB),0.9836623553437713
2017-01-02,2016-12-29,6,ORWE,Oriental Weavers,0.9601518026565468
2017-01-02,2016-12-29,7,ORAS,Orascom Construction PLC,0.8983413590155163
2017-01-02,2016-12-29,8,ETEL,Telecom Egypt,0.8982229402261712
2017-01-02,2016-12-29,9,EAST,Eastern Company,0.6276595744680851
2017-01-02,2016-12-29,10,ADIB,Abu Dhabi Islamic Bank- Egypt,0.5
2018-01-02,2017-12-31,1,EGAL,Egypt Aluminum,9.889724310776943
2018-01-02,2017-12-31,2,ORHD,Orascom Development Egypt,3.0254237288135597
2018-01-02,2017-12-31,3,BFTH,Beltone Holding,2.3376623376623376
2018-01-02,2017-12-31,4,EAST,Eastern Company,2.212121212121212
2018-01-02,2017-12-31,5,ABUK,Abou Kir Fertilizers,2.0239099859353025
2018-01-02,2017-12-31,6,ADIB,Abu Dhabi Islamic Bank- Egypt,2.0168539325842696
2018-01-02,2017-12-31,7,AMOC,Alexandria Mineral Oils Company,1.25609756097561
2018-01-02,2017-12-31,8,RAYA,Raya Holding For Financial Investments,1.0
2018-01-02,2017-12-31,9,EGCH,Egyptian Chemical Industries (KIMA),0.6463104325699744
2018-01-02,2017-12-31,10,JUFO,Juhayna Food Industries,0.6401869158878504
2019-01-06,2019-01-03,1,CCAP,QALA For Financial Investments,1.830769230769231
2019-01-06,2019-01-03,2,ORHD,Orascom Development Egypt,0.6773455377574371
2019-01-06,2019-01-03,3,ISPH,Ibnsina Pharma,0.28131021194605
2019-01-06,2019-01-03,4,VLMR,Egyptian Kuwaiti Holding,0.26717557251908386
2019-01-06,2019-01-03,5,GBCO,GB Corp,0.2645631067961165
2019-01-06,2019-01-03,6,TMGH,T M G Holding,0.0552712384851588
2019-01-06,2019-01-03,7,ABUK,Abou Kir Fertilizers,0.05179463880054502
2019-01-06,2019-01-03,8,JUFO,Juhayna Food Industries,0.040740740740740744
2019-01-06,2019-01-03,9,RAYA,Raya Holding For Financial Investments,0.03846153846153855
2019-01-06,2019-01-03,10,COMI,Commercial International Bank-Egypt (CIB),0.035750766087844665
2020-01-02,2019-12-31,1,RAYA,Raya Holding For Financial Investments,16.653846153846153
2020-01-02,2019-12-31,2,COMI,Commercial International Bank-Egypt (CIB),1.8018899763752954
2020-01-02,2019-12-31,3,HELI,Heliopolis Housing,0.313856427378965
2020-01-02,2019-12-31,4,EAST,Eastern Company,0.27391659852820927
2020-01-02,2019-12-31,5,VLMR,Egyptian Kuwaiti Holding,0.23030303030303023
2020-01-02,2019-12-31,6,HRHO,EFG Holding,0.1254480286738353
2020-01-02,2019-12-31,7,ISPH,Ibnsina Pharma,0.09984639016897079
2020-01-02,2019-12-31,8,ADIB,Abu Dhabi Islamic Bank- Egypt,0.07575757575757569
2020-01-02,2019-12-31,9,EFID,Edita Food Industries (EDITA),0.07000000000000006
2020-01-02,2019-12-31,10,ORHD,Orascom Development Egypt,0.017910447761193993
2021-01-04,2021-01-03,1,FWRY,Fawry For Banking Technology And Electronic Payment,3.212765957446809
2021-01-04,2021-01-03,2,RAYA,Raya Holding For Financial Investments,0.6399999999999999
2021-01-04,2021-01-03,3,MCQE,Misr Cement - Qena,0.2568807339449539
2021-01-04,2021-01-03,4,ETEL,Telecom Egypt,0.11527647610121838
2021-01-04,2021-01-03,5,OIH,Orascom Investment Holding,-0.013953488372092981
2021-01-04,2021-01-03,6,ABUK,Abou Kir Fertilizers,-0.01423149905123322
2021-01-04,2021-01-03,7,ADIB,Abu Dhabi Islamic Bank- Egypt,-0.04866743916570104
2021-01-04,2021-01-03,8,ORWE,Oriental Weavers,-0.04908835904628328
2021-01-04,2021-01-03,9,GBCO,GB Corp,-0.0714285714285714
2021-01-04,2021-01-03,10,ARCC,Arabian Cement Company,-0.10614525139664799
2022-01-02,2021-12-30,1,RAYA,Raya Holding For Financial Investments,2.4999999999999996
2022-01-02,2021-12-30,2,EGAL,Egypt Aluminum,0.931654676258993
2022-01-02,2021-12-30,3,GBCO,GB Corp,0.6776315789473684
2022-01-02,2021-12-30,4,PHDC,Palm Hills Development Company,0.5190839694656488
2022-01-02,2021-12-30,5,ARCC,Arabian Cement Company,0.4771241830065358
2022-01-02,2021-12-30,6,MCQE,Misr Cement - Qena,0.4668674698795181
2022-01-02,2021-12-30,7,ETEL,Telecom Egypt,0.4569939183318854
2022-01-02,2021-12-30,8,TMGH,T M G Holding,0.45352564102564097
2022-01-02,2021-12-30,9,JUFO,Juhayna Food Industries,0.3883847549909256
2022-01-02,2021-12-30,10,ADIB,Abu Dhabi Islamic Bank- Egypt,0.3688833124215809
2023-01-02,2022-12-29,1,ABUK,Abou Kir Fertilizers,0.9414414414414414
2023-01-02,2022-12-29,2,AMOC,Alexandria Mineral Oils Company,0.8425655976676385
2023-01-02,2022-12-29,3,MCQE,Misr Cement - Qena,0.7624076029567055
2023-01-02,2022-12-29,4,CCAP,QALA For Financial Investments,0.71900826446281
2023-01-02,2022-12-29,5,EGCH,Egyptian Chemical Industries (KIMA),0.660714285714286
2023-01-02,2022-12-29,6,ARCC,Arabian Cement Company,0.6179245283018868
2023-01-02,2022-12-29,7,ETEL,Telecom Egypt,0.5687500000000001
2023-01-02,2022-12-29,8,HRHO,EFG Holding,0.4444444444444444
2023-01-02,2022-12-29,9,JUFO,Juhayna Food Industries,0.39458689458689444
2023-01-02,2022-12-29,10,EGAL,Egypt Aluminum,0.3740384615384613
2024-01-02,2023-12-31,1,BFTH,Beltone Holding,1.8305084745762712
2024-01-02,2023-12-31,2,EFID,Edita Food Industries (EDITA),1.4454901960784312
2024-01-02,2023-12-31,3,TMGH,T M G Holding,1.3333333333333335
2024-01-02,2023-12-31,4,EGCH,Egyptian Chemical Industries (KIMA),1.2296450939457202
2024-01-02,2023-12-31,5,ABUK,Abou Kir Fertilizers,1.2175290390707496
2024-01-02,2023-12-31,6,EGAL,Egypt Aluminum,1.186783546864464
2024-01-02,2023-12-31,7,ORAS,Orascom Construction PLC,0.9590083722953135
2024-01-02,2023-12-31,8,JUFO,Juhayna Food Industries,0.934567901234568
2024-01-02,2023-12-31,9,EAST,Eastern Company,0.8932735426008966
2024-01-02,2023-12-31,10,ARCC,Arabian Cement Company,0.6666666666666667
2025-01-02,2024-12-31,1,TMGH,T M G Holding,1.4400871459694988
2025-01-02,2024-12-31,2,PHDC,Palm Hills Development Company,1.1727574750830567
2025-01-02,2024-12-31,3,JUFO,Juhayna Food Industries,0.9775678866587956
2025-01-02,2024-12-31,4,GBCO,GB Corp,0.8538961038961037
2025-01-02,2024-12-31,5,EMFD,Emaar Misr for Development,0.7872340425531912
2025-01-02,2024-12-31,6,ARCC,Arabian Cement Company,0.7653167185877465
2025-01-02,2024-12-31,7,EGAL,Egypt Aluminum,0.7493939393939393
2025-01-02,2024-12-31,8,ORAS,Orascom Construction PLC,0.5813462286698905
2025-01-02,2024-12-31,9,FWRY,Fawry For Banking Technology And Electronic Payment,0.4467005076142132
2025-01-02,2024-12-31,10,EAST,Eastern Company,0.42926356589147274
2026-01-04,2025-12-31,1,MCQE,Misr Cement - Qena,5.598996526437668
2026-01-04,2025-12-31,2,ARCC,Arabian Cement Company,2.3072916666666665
2026-01-04,2025-12-31,3,EGAL,Egypt Aluminum,1.0169578622816031
2026-01-04,2025-12-31,4,ETEL,Telecom Egypt,0.9930303030303029
2026-01-04,2025-12-31,5,GBCO,GB Corp,0.8802228412256268
2026-01-04,2025-12-31,6,FWRY,Fawry For Banking Technology And Electronic Payment,0.8173618940248031
2026-01-04,2025-12-31,7,ISPH,Ibnsina Pharma,0.808641975308642
2026-01-04,2025-12-31,8,CCAP,QALA For Financial Investments,0.6563876651982379
2026-01-04,2025-12-31,9,EGCH,Egyptian Chemical Industries (KIMA),0.577020202020202
2026-01-04,2025-12-31,10,ORAS,Orascom Construction PLC,0.4733596025355489
